"origin_index","origin_date","forecast_index","forecast_date","actual_log_return","x_acf1","x_acf10","diff1_acf1","diff1_acf10","diff2_acf1","diff2_acf10","seas_acf1","ARCH.LM","crossing_points","entropy","flat_spots","arch_acf","garch_acf","arch_r2","garch_r2","alpha","beta","hurst","lumpiness","nonlinearity","x_pacf5","diff1x_pacf5","diff2x_pacf5","seas_pacf","nperiods","seasonal_period","trend","spike","linearity","curvature","e_acf1","e_acf10","seasonal_strength","peak","trough","stability","hw_alpha","hw_beta","hw_gamma","unitroot_kpss","unitroot_pp","series_length"
2181,2018-08-30,2182,2018-08-31,0.0134468467305027,-0.100148153366288,0.098823432308581,-0.586682438354217,0.479881791201148,-0.726439721575074,0.748684888063255,0,0.109337639170536,60,0.933207631850465,3,0.114208953830126,0.115323187445008,0.109337639170536,0.109811278852849,0.00428544801064122,0.00428537967283903,0.500045830129239,0.300575153500688,0.441861837276626,0.0617048558770798,0.52045273345869,0.912658850965662,0,0,1,0.00748740505571743,0.000166760448628465,0.317296322022379,0.342872846667584,-0.109609325961546,0.0986127262505067,0,0,0,0.0473419516440468,0,0,0,0.0438372061987617,-114.757595602529,100
2182,2018-08-31,2183,2018-09-04,-0.165569204887905,-0.0859001699495833,0.0881697059360595,-0.585671560042218,0.473994811173448,-0.725098426095193,0.770560312616635,0,0.106625644127732,59,0.929357023727541,3,0.115055431010396,0.113670349189414,0.106625644127732,0.103271074311156,0.000101589567604159,0.000101580737914651,0.500045830129239,0.324069335571354,0.436809002055991,0.0531650181596097,0.54309050492293,0.989428412973597,0,0,1,0.000758897540608205,0.000175057663535917,0.258493387587087,0.314270078315163,-0.0880960111944951,0.0869552436482799,0,0,0,0.0256926243722925,0,0,0,0.0350070575371665,-111.466252205213,100
2183,2018-09-04,2184,2018-09-05,-0.280706280126619,-0.0780505285112562,0.0934228499268244,-0.579399786338743,0.49063746819683,-0.735740563856733,0.830224515831276,0,0.102855805600458,58,0.935027892159398,3,0.106799663518041,0.10576453771679,0.102855805600458,0.0996390351293058,0.000100036015104959,0.000100000953080299,0.500045830129239,0.419933406031581,0.467045782096612,0.0489432782843052,0.546366032117698,0.953351818008424,0,0,1,0.00304710946013564,0.000178099093550415,0.153894095987008,0.283398097726937,-0.0813632064286057,0.0902798860903914,0,0,0,0.0260105705948166,0,0,0,0.0393258576065871,-111.31854598866,100
2184,2018-09-05,2185,2018-09-06,-0.365899103661871,-0.0669707212450158,0.100530604130512,-0.593475673977639,0.533444628680544,-0.742993768227188,0.850000826187844,0,0.0986795581585313,57,0.928433890241856,3,0.105543325276631,0.107147063048524,0.0986795581585313,0.0911351688412438,0.000254864285914181,0.000254860103869031,0.500045830129239,0.265572889820099,0.516776711580051,0.0552837745195283,0.530216618200721,1.07281916451635,0,0,1,0.064603109448039,0.000161657214423898,-0.267126147946288,0.225262153197321,-0.118441773971831,0.105056805301235,0,0,0,0.0662637080622703,0,0,0,0.0304005366097997,-108.445846936833,100
2185,2018-09-06,2186,2018-09-07,-0.221579789501369,-0.0851637421824491,0.106116459158173,-0.590178527944335,0.530019269804389,-0.746403161675773,0.860358688994551,0,0.0908032394103492,55,0.934001558566505,3,0.101413219906882,0.126635215906083,0.0908032394103492,0.0870172888365421,0.000100063709565658,0.000100002356076144,0.500045830129239,0.18229040134817,0.497085222391229,0.054735732858304,0.504604764407961,1.04716110547034,0,0,1,0.0242039154123177,0.000183641354929659,-0.126051893973581,-0.209569554187775,-0.103366298796154,0.102979675886761,0,0,0,0.123072556936306,0,0,0,0.0363626188055574,-114.05838147654,100
2186,2018-09-07,2187,2018-09-10,0.189602821469315,-0.0842835599070104,0.109363630616761,-0.607724793567859,0.566681570834515,-0.747072769292113,0.864030551718539,0,0.0856412305426951,54,1,3,0.119853910557001,0.134348299940548,0.0856412305426951,0.0903035803101325,0.00010508233306421,0.000100003338703819,0.500045830129239,0.144230450438377,0.505131185511725,0.048569764150171,0.590259157216636,1.08755621888986,0,0,1,0.0313966088814122,0.000186606838465898,0.133664420515559,-0.620887477258255,-0.115135765734266,0.114786543477362,0,0,0,0.110810674176622,0,0,0,0.0578903522672235,-114.806252979926,100
2187,2018-09-10,2188,2018-09-11,0.373286568971487,-0.0849478510508825,0.107611530000698,-0.612099677423269,0.564151308180919,-0.748965088364923,0.867729733021965,0,0.0897721009571397,55,1,3,0.134400907476696,0.138010185998281,0.0897721009571397,0.0945497086983027,0.000104083246250771,0.000104082113904378,0.500045830129239,0.149407841871415,0.467654604129508,0.0482897254404489,0.582096944410665,1.1165762428767,0,0,1,0.050876638038351,0.000170891778208217,0.796918974014592,-1.25128437664123,-0.134543122286176,0.110214594028204,0,0,0,0.143021686868158,0,0,0,0.0599231482402871,-112.399111943538,100
2188,2018-09-11,2189,2018-09-12,0.0356608349894039,-0.103778646517912,0.112898464312146,-0.607825502261497,0.553816096948824,-0.741832945132061,0.836447383124164,0,0.0954398653379725,57,1,3,0.143386268674165,0.116491541898528,0.0954398653379725,0.092714941611759,0.00010001740665066,0.000100017221056123,0.500045830129239,0.262851089475138,0.477881084168411,0.0471820891806298,0.557771976665688,1.10392571229541,0,0,1,0.0156607742672238,0.000191363008435698,0.239246130548437,-0.199498757369869,-0.117357472589889,0.111120438355811,0,0,0,0.127846841132652,0,0,0,0.0462705834225371,-112.937570874225,100
2189,2018-09-12,2190,2018-09-13,0.526835215939148,-0.109382092441559,0.0903998791892826,-0.596850853882647,0.515809298519887,-0.7273377767396,0.796474881720141,0,0.0918755885023353,58,1,3,0.11734396622331,0.109661381806053,0.0918755885023353,0.0973218648681241,0.000100020507593439,0.000100000832168215,0.500045830129239,0.381683295871224,0.501930400312189,0.034569267249679,0.583437371911362,0.939830656185603,0,0,1,0.00170217016349539,0.000205188162113646,-0.250059596096017,-0.0561323828916727,-0.110802687482169,0.0875156013833203,0,0,0,0.0602924116093251,0,0,0,0.0325811962340572,-113.380466428953,100
2190,2018-09-13,2191,2018-09-14,0.027544390076617,-0.113023014928585,0.0913634392346575,-0.582455349342899,0.491268415580695,-0.747245531477274,0.84626551621633,0,0.0975598808093876,59,1,3,0.111519101481288,0.0691982050926037,0.0975598808093876,0.0677448699311959,0.000162960676141915,0.000162958718100292,0.500045830129239,0.370693948322079,0.419025010970289,0.0382053374854822,0.480846500297233,0.910365267477703,0,0,1,0.0224802199042059,0.000199767601699472,0.165174721881127,0.22223270937858,-0.132084438413204,0.0912886676303535,0,0,0,0.097289802093433,0,0,0,0.0327842139650566,-116.91640119129,100
2191,2018-09-14,2192,2018-09-17,-0.558529099154903,-0.117775608871639,0.114152212709234,-0.626104133782217,0.56683431869778,-0.755113727121839,0.85486792058989,0,0.103638814924826,59,1,3,0.101056454641856,0.0715002436822974,0.103638814924826,0.0677639622072879,0.00010259833253885,0.000102575254983394,0.500045830129239,0.379332071939454,0.512707387924573,0.0646322398851709,0.579124944751864,1.01295213614497,0,0,1,0.00630155369991769,0.000182994208331579,-0.585751385790112,0.195970505398232,-0.123543559367918,0.120776978215636,0,0,0,0.0462435964308439,0,0,0,0.045034896985789,-117.796879352714,100
2192,2018-09-17,2193,2018-09-18,0.535465286762538,-0.117535675190613,0.108168969896829,-0.612938538849901,0.54892595315189,-0.766666235543974,0.892225166619917,0,0.107808564278915,59,1,3,0.09161966033137,0.0644403469955163,0.107808564278915,0.0654017397465942,0.000100094319312824,0.000100003865157979,0.500045830129239,0.394338155462847,0.634527184751398,0.0612355517198424,0.499566890377523,1.013094622066,0,0,1,0.0114118900833019,0.000177254037729072,-0.56101039500542,0.00950959070246263,-0.124119594752786,0.114011750006535,0,0,0,0.032635534934448,0,0,0,0.0551646380206698,-118.833852667749,100
2193,2018-09-18,2194,2018-09-19,0.125248803317213,-0.131708111600122,0.126463896422837,-0.633293680128118,0.576894955148456,-0.756682605102361,0.863043291678601,0,0.109640684455332,60,0.990512369011687,3,0.0636909825280535,0.0408259209343228,0.083020725849351,0.0641068141528422,0.000100008372229086,0.00010000502956626,0.500045830129239,0.469104044338154,0.636579075959812,0.0675070400228885,0.568665936455899,0.944603509696609,0,0,1,0.00470166104576397,0.000185098082488234,-0.0897272621366841,-0.0946242351645986,-0.136199357450358,0.126984615688937,0,0,0,0.029477763022977,0,0,0,0.0307312694447393,-121.14057461601,100
2194,2018-09-19,2195,2018-09-20,0.781001418532856,-0.130219286040528,0.125826402841843,-0.631612964127925,0.566951082276447,-0.755351348532142,0.850028813695713,0,0.11413663031891,59,0.990774638267205,3,0.0605654887262342,0.0403102760253014,0.0773390386753923,0.0621924895477877,0.000100085484211368,0.000100060004602851,0.500045830129239,0.256568990859791,0.589387254153686,0.0667665698238875,0.540210190991613,1.07073713223287,0,0,1,0.030477005174782,0.000182284087654084,0.337950871657151,-0.425995136301654,-0.148893094780048,0.121582785016249,0,0,0,0.0767577077880336,0,0,0,0.0304816971010515,-119.367512146196,100
2195,2018-09-20,2196,2018-09-21,-0.0368600937006747,-0.125813465666141,0.110710963937466,-0.626334681397007,0.562877592689198,-0.759983700265364,0.873353409108975,0,0.112625591945882,58,0.992167422072345,3,0.0627023133350971,0.0464052905193838,0.0822997090933028,0.0722861413284731,0.000100018559967757,0.000100003799855793,0.500045830129239,0.112026027726899,0.532690352955671,0.050624204908456,0.550414741148688,0.982392274925485,0,0,1,0.0103365237489511,0.000182139121830172,-0.0572072535982784,0.374195455368909,-0.1347240190689,0.112183398428282,0,0,0,0.131395003463655,0,0,0,0.0413223552718594,-119.112016801545,100
2196,2018-09-21,2197,2018-09-24,-0.352188231401396,-0.124595333694683,0.111109299240355,-0.630138468624579,0.579782692661666,-0.775407874089988,0.914354671823093,0,0.120246408878792,58,0.992128514401731,3,0.0590373350791977,0.0536852654950165,0.0847656444660504,0.0677210621368231,0.000100052786641886,0.000100001528251999,0.500045830129239,0.166450894645014,0.494945509310709,0.0512312559336525,0.518092002636987,1.0535573544137,0,0,1,0.0261915806150798,0.000184087506078838,0.001147005893938,0.15263695207761,-0.14342912766188,0.115255516372011,0,0,0,0.102107386724741,0,0,0,0.0384221309451294,-119.589338979622,100
2197,2018-09-24,2198,2018-09-25,-0.130594849311816,-0.134501430658461,0.118763729265619,-0.639498148804248,0.591935319708602,-0.769820799938984,0.911946644842085,0,0.118585866490315,58,0.988923187673691,3,0.080413748216854,0.0544396394172517,0.0859700674293059,0.0688293177530708,0.000212646365972362,0.000212641107617414,0.500045830129239,0.148655355790552,0.566271955944009,0.0604572873748848,0.558372660780685,0.949098944597976,0,0,1,0.020978763214031,0.000179724428241282,-0.388218889137104,0.45467039041029,-0.157119645037551,0.124248122240598,0,0,0,0.115800880895489,0,0,0,0.0662400030659385,-122.597666546383,100
2198,2018-09-25,2199,2018-09-26,-0.329469968115959,-0.116642980031074,0.118980153517821,-0.641283530662822,0.61093938656033,-0.783717323046474,0.949676964955742,0,0.126308005871898,57,0.98952203386488,3,0.0794818842687902,0.054459129672947,0.0876194562232781,0.0637744950385566,0.0219334277033329,0.0001000068921454,0.500045830129239,0.303117734499246,0.665220367627926,0.0581073231594943,0.571371856169458,1.07607037738092,0,0,1,0.035604543314127,0.000173645655650257,-0.822326965856721,0.70053963727472,-0.144999263597315,0.128521366282479,0,0,0,0.10352689568202,0,0,0,0.0853233389067029,-117.841503489529,100
